"すずき,鈴木","かまだ,鎌田","たかとり,高取","くましろ,神代","ひろいけ,広池","なかつぼ,中坪","やまかど,山門","のぶとう,延藤","くつな,沓名","ふじさか,藤坂","うたまる,歌丸","こはなわ,小華和","でざわ,出沢","まつかた,松形","あつぼ,厚母","いむら,猪村","おかだや,岡田屋","かねま,兼間","くさかみ,草上","これむら,是村","しなと,階戸","そたに,祖谷","ちばた,千畑","なおばやし,直林","はさだ,羽佐田","ふじわ,藤輪","みさご,三砂","やずみ,矢住"
"まさき,正木","はが,羽賀","まじま,間島","くろの,黒野","よこはま,横浜","さとり,左部","こうもと,甲元","いのくち,井之口","だんの,淡野","あつき,厚木","かめじま,亀嶋","せり,瀬里","はたちやま,二十山","よりた,寄田","いしむれ,石牟礼","えぞう,江蔵","かぎ,嘉儀","きくち,きくち","こうじな,神品","さまた,佐間田","すがの,管野","たてもと,立元","とがの,戸叶","にし,二司","ひさもり,久守","まきさわ,牧沢","むねかね,宗兼","よねか,米花"
"おおとも,大友","はやま,葉山","ますこ,増子","けんじょう,見城","よさの,与謝野","さぬき,佐貫","こうもと,高本","いのま,猪間","だんの,檀野","あつぎ,厚木","かめなが,亀永","せりょう,瀬領","はたに,羽渓","よりた,頼田","いしむろ,石室","えぞえ,江添","かぎい,鍵井","きくちばら,菊池原","こうじば,糀場","さまた,佐復","すがのみや,清宮","たてもと,立本","とがのい,栂井","にしょうじ,仁昌寺","ひさやす,久安","まきざわ,牧沢","むねかわ,宗川","よねがね,米金"
"おち,越智","ひおき,日置","ますもと,増本","こいと,小糸","よしい,吉居","さば,佐波","こうや,神谷","いはし,伊橋","だんばら,檀原","あつさか,阿津坂","かめのその,亀之園","せりう,芹生","はたべ,幡部","よりちか,頼近","いしもち,石持","えたじま,頴田島","かぎおの,鍵小野","きくつじ,菊辻","こうじま,光島","さまた,佐俣","すがのや,菅野谷","たてもり,舘盛","とがみ,外上","にしょがせき,二所ケ関","ひさゆき,久行","まきしま,牧嶋","むねき,宗木","よねき,米城"
"こじま,児島","まつざか,松坂","まつくま,松隈","こうさか,上坂","よしうえ,吉植","さるまる,猿丸","こうら,古浦","いべ,井部","ちぉえ,崔","あつざわ,厚沢","かめわだ,亀和田","せりかわ,糴川","はたむら,畑村","よりひろ,頼広","いしもり,石杜","えたに,榎谷","かぎだ,鍵田","きくなか,菊仲","こうすい,高水","さまる,佐丸","すがはら,管原","たてや,舘谷","とがみ,戸神","にしあき,西秋","ひさゆく,久行","まきす,槙栖","むねくに,宗国","よねき,米木"
"さわむら,沢村","まるおか,丸岡","まやま,真山","こうのす,鴻巣","よしかわ,好川","さるや,猿谷","こえだ,小枝","いほり,井堀","ちゃき,茶木","あつじ,阿辻","かもがわ,加茂川","せりさわ,芹沢","はだの,波多野","よりふじ,寄藤","いしや,石屋","えたに,恵谷","かぎとみ,鍵冨","きくなが,菊永","こうず,荒津","さみ,佐味","すがはら,須ケ原","たてやま,舘山","とがみ,冨上","にしあらい,西荒井","ひざくら,緋桜","まきすみ,牧角","むねさだ,宗定","よねくぼ,米久保"
"り,李","みね,峰","まゆずみ,黛","こくぶ,国府","よしこし,吉越","さわと,沢登","こおり,桑折","いまいし,今石","ちゅうぐん,中郡","あつじ,阿閉","かもさわ,鴨沢","せん,銭","はちうま,八馬","よろい,万井","いしや,石谷","えたに,江谷","かぎの,鍵野","きくに,喜国","こうず,香津","さみず,三水","すがま,州鎌","たてわき,立脇","とがめ,十亀","にしあり,西有","ひざわ,火沢","まきだ,牧田","むねさわ,宗沢","よねざき,米崎"
"おおひら,大平","みやなが,宮永","みなくち,水口","こしみず,小清水","よしずみ,吉積","しょうりき,正力","こがね,小金","いまおおじ,今大路","ちゅうまん,中馬","あつみ,厚味","かもじ,鴨治","せんすい,泉水","はちす,蜂巣","よろずよ,万代","いしろ,伊代","えだ,荏田","かぎひろ,鎰広","きくはた,菊畑","こうずえ,神末","さむかわ,寒河","すがま,洲鎌","たでら,田寺","とがもと,栂本","にしい,西伊","ひし,菱","まきと,牧戸","むねたけ,宗武","よねしま,米島"
"かざま,風間","むらなか,村中","みま,美馬","こまがた,駒形","よしやま,吉山","しおじり,塩尻","こがわ,古川","いまさか,今坂","ちゅうりき,中力","あとやま,後山","かや,加舎","せんぞく,千足","はちの,八野","らくやま,洛山","いしろ,井代","えだくに,枝国","かぎやま,鑰山","きくみ,菊見","こうずか,幸塚","さむざわ,寒沢","すがま,須釜","たところ,田所","とがり,戸河里","にしい,西居","ひしき,日紫喜","まきの,巻野","むねだ,棟田","よねしろ,米城"
"たはら,田原","もりさわ,森沢","みやぐち,宮口","こむら,古村","よしゆき,吉行","しげの,繁野","こがわ,粉川","いまでがわ,今出川","ちょうかろう,蝶花楼","あねこうじ,姉小路","かや,嘉屋","せんだ,泉田","はちろ,鉢呂","らち,良知","いしわき,石脇","えだくぼ,枝窪","かぎわた,鍵渡","きくやま,喜久山","こうずき,香月","さむた,佐牟田","すがもと,菅本","たど,多戸","とがり,戸狩","にしいえ,西家","ひしくら,菱倉","まきば,槙場","むねとき,宗時","よねずみ,米住"
"ひらお,平尾","もろおか,諸岡","もとじま,本島","こもだ,菰田","よだ,与田","しげみ,重見","こぎ,小木","いまはせ,今長谷","ちょうの,丁野","あねさき,姉崎","かやしま,茅島","せんだい,千代","はつがい,初谷","らもん,羅門","いしわた,石腸","えだしげ,枝重","かくい,覚井","きくよし,菊芳","こうせい,弘勢","さむろ,砂室","すがや,菅屋","たど,田門","とがわ,外河","にしうえ,西上","ひした,菱田","まきばやし,槙林","むねとも,棟朝","よねせ,米瀬"
"ふるや,古屋","やぎゅう,柳生","やじま,矢嶋","こやま,児山","よもぎだ,蓬田","しげむね,重宗","こぐち,小口","いまばやし,今林","ちょん,全","あはら,阿原","かやま,佳山","せんとう,千藤","はつた,初田","らん,嵐","いしわた,石和田","えだじま,枝島","かくいち,角一","きくらく,菊楽","こうせい,江西","さめはだ,鮫肌","すがやま,菅山","たどおか,田戸岡","とき,斗鬼","にしうじ,西氏","ひしの,菱野","まきぶち,巻渕","むねなが,宗永","よねだ,米多"
"あさみ,浅見","やまぎわ,山際","やない,矢内","さい,蔡","よりみつ,依光","しず,志津","こご,古後","いよく,伊能","ちうら,千浦","あはれん,阿波連","かやま,嘉山","せんどう,千藤","はつね,初音","りょう,寮","いしわだ,石和田","えだつね,枝常","かくがわ,角川","きぐ,貴具","こうせつ,幸節","さもと,佐元","すがやま,菅沼","たない,田内","とき,鴇","にしうま,西馬","ひしみ,ひし美","まきみなと,牧港","むねの,宗野","よねだ,余根田"
"ありた,有田","やましな,山科","やぶ,薮","さくら,桜","らく,楽","しとう,紫藤","こざくら,小桜","いよだ,伊予田","ちか,近","あびる,畔蒜","かやもと,栢本","せんな,仙名","はとば,波戸場","りょう,廖","いしんりき,維新力","えだはら,枝原","かくしょう,覚正","きぐち,木倶知","こうせん,興膳","さもん,佐門","すがわ,菅川","たなえ,田苗","ときくら,常倉","にしうみ,西海","ひしむら,菱村","まきむら,真樹村","むねはら,宗原","よねち,米地"
"でぐち,出口","よしなり,吉成","やぶた,薮田","さくらざわ,桜沢","れいぜい,冷泉","しの,志野","こしいし,輿石","いりょう,井料","ちかずみ,近角","あぶ,阿武","かやもと,榧本","せんの,千野","はないえ,花家","りょうかい,了戒","いじ,伊治","えだまさ,枝正","かくせい,覚正","きぐら,木倉","こうぜん,興膳","さもん,左門","すがわ,簀川","たなか,たなか","ときけん,都旗軒","にしうら,西占","ひしや,菱谷","まきや,牧屋","むねひさ,棟久","よねのぶ,米延"
"なかしま,中島","よねはら,米原","やまお,山尾","ささ,笹","わき,和木","しのざき,しのざき","こしべ,越部","いりき,入来","ちかま,近間","あぶらい,油井","からしま,辛嶋","せんば,仙葉","はなうえ,花上","りっせん,立仙","いじゅ,伊集","えだみ,枝見","かくそう,鶴窓","きこ,喜古","こうそかべ,香宗我部","さもんじ,佐文字","すがわら,須ケ原","たなか,棚下","ときこ,時古","にしおう,西応","ひじ,臂","まぎ,真木","むねもと,宗本","よねます,米増"
"なんぶ,南部","あおしま,青島","やまのい,山野井","ささき,笹木","わきさか,脇阪","しのへ,四戸","こじま,古島","いりさ,入佐","ちかみ,近見","あぶらのこうじ,油小路","からしま,唐島","せんぼくや,仙北屋","はなが,羽永","りきたけ,力武","いじゅういん,伊住院","えだもと,枝元","かくた,覚田","きこ,木子","こうそかべ,香曽我部","さやま,さやま","すがわら,須加原","たなか,棚夏","ときさと,時里","にしおう,西王","ひじかい,文違","まぎし,真岸","むねもり,宗守","よねもと,米元"
"のがみ,野上","あかいし,赤石","ゆり,由利","ささぬま,笹沼","わざき,和崎","しのみや,四ノ宮","こすけがわ,小助川","いりべ,入部","ちざわ,千沢","あべ,阿倍","からすぎ,唐杉","ぜにもと,銭本","はなきた,花北","りきとみ,力富","いじゅうだ,伊集田","えだもと,枝本","かくだて,角館","きごえ,木越","こうそがべ,香宗我部","さやま,茶山","すがわら,須賀原","たなかじま,田中島","ときざき,時崎","にしおおだちめ,西大立目","ひじくろ,肱黒","まく,満久","むねもり,宗森","よねや,米屋"
"はまぐち,浜口","あきの,秋野","よこて,横手","ささや,笹谷","わしざき,鷲崎","しばいけ,芝池","ことぶき,寿","いるべ,入部","ちずか,遅塚","あぼ,英保","からすだ,烏田","ぜんにょじ,善如寺","はなさき,花咲","りきひさ,力久","いじち,伊知地","えち,恵智","かくど,角戸","きさい,騎西","こうぞたに,楮谷","さゆり,小百合","すがわら,簀河原","たなかや,田中屋","ときしげ,時重","にしおか,西丘","ひじや,小童谷","まくぐろいん,マクグロイン花岡","むねゆき,宗行","よねやす,米安"
"おおつぼ,大坪","あさお,浅尾","わかつき,若槻","さたけ,佐武","わしず,鷲津","しほ,志甫","こなみ,小浪","いわお,岩生","ちとせ,千歳","あぼう,安保","からすま,烏丸","ぜんの,善野","はなし,葉梨","りくかわ,陸川","いじま,井嶋","えち,江知","かくはし,角橋","きさか,城阪","こうた,向田","さよ,小夜","すきた,鋤田","たなかわ,棚川","ときた,戸北","にしおか,西郊","ひじや,泥谷","まくた,真久田","むのう,無能","よのう,米納"
"かわせ,川瀬","あやべ,綾部","わく,和久","さわ,佐和","わたひき,綿引","しまき,島木","こま,高麗","いわさ,巌佐","つ,津","あまかわ,尼川","からすまる,烏丸","ぜんの,禅野","はなずみ,花積","りざわ,利沢","いす,井須","えちかわ,越川","かくはり,覚張","きさか,木阪","こうたいごう,皇太后","さらい,更井","すきのう,鋤納","たなき,棚木","ときた,戸木田","にしかい,西海","ひずか,肥塚","まぐさ,麻草","むもん,無門","よひな,饒平名"
"ひらさわ,平沢","あらまき,荒牧","あおた,青田","さわさき,沢崎","わたり,亘理","しまぐち,島口","こまがみね,駒ケ嶺","いわさ,岩浅","ついしゅ,堆朱","あまがい,天海","からと,唐戸","ぜんようじ,善養寺","はなた,花田","れい,黎","いすき,居宿","えちごしま,越後島","かくばやし,角林","きさき,生咲","こうたいし,皇太子","さらがい,皿海","すぎ,すぎ","たなくら,棚倉","ときた,敞田","にしかげ,西蔭","ひずくり,桧作","まぐるびー,マグルビー","むや,撫養","よみず,余水"
"みやじま,宮島","ありもと,有本","あがた,県","さわざき,沢崎","あいかわ,愛川","しまばら,島原","こまき,駒木","いわさか,岩坂","つか,塚","あまがさき,尼ケ崎","かりべ,刈部","そうだ,相田","はなつか,花塚","れきもと,暦本","いすぎ,井杉","えちぜん,越膳","かくま,加隈","きさらぎ,衣更着","こうたか,香高","さらき,更木","すぎ,寿木","たなした,棚下","ときつ,鯨津","にしかぜ,西風","ひずめ,樋爪","まこ,真湖","むら,むら","よみやま,読谷山"
"あいはら,相原","いな,伊奈","あがわ,阿川","さんのみや,三宮","あいだ,合田","しもいで,下出","こまき,小巻","いわたけ,岩竹","つかもと,塚元","あまがさき,尼崎","かりまた,狩俣","そうとめ,早乙女","はなと,花登","れんぶつ,蓮仏","いすず,居鈴","えつぐ,越次","かくまる,角丸","きさらず,木更津","こうだ,鴻生田","さらぎ,さらぎ","すぎう,杉生","たなの,棚野","ときなが,時長","にしかた,西形","ひぜん,肥前","まこと,誠","むら,無良","よもだ,四方田"
"かわはら,河原","いの,猪野","あきつ,秋津","ざいぜん,財前","あいはら,粟飯原","しもおか,下岡","こまごめ,駒込","いわたて,岩楯","つかわき,塚脇","あまがす,天春","かるべ,苅部","そうむら,宗村","はなどう,花堂","ろ,盧","いすたに,熊取谷","えつだ,悦田","かくむ,各務","きさわ,鬼沢","こうだ,鴻田","さらさ,更紗","すぎうえ,杉上","たなびき,田靡","ときのう,時能","にしかみ,西上","ひた,日田","まごおり,馬郡","むらいそ,村磯","よよぎ,代々木"
"かわはら,川原","いまず,今津","あさい,朝井","しゃ,謝","あえば,饗庭","しもさと,下里","こまざき,駒崎","いわだて,岩立","つが,都賀","あまく,天久","かれい,家令","そうや,宗谷","はなぶち,花淵","ろくしゃ,六車","いすみ,亥角","えとう,夷藤","かくもと,角元","きさわ,木沢","こうだいら,公平","さらしま,皿島","すぎうら,浦","たなべ,棚辺","ときまさ,時政","にしがい,西海","ひたか,ひたか","まごさき,孫崎","むらうら,村浦","よりうめ,撰梅"
"たかさき,高崎","うい,宇井","あなん,阿南","しゃもと,社本","あおぞら,青空","しもざと,下里","こまる,小丸","いわとう,岩藤","つきおか,月丘","あまざわ,天沢","かわい,川居","そえかわ,添川","はなむら,花邑","ろくはら,六波羅","いずいし,出石","えど,エド","かくや,角矢","きざき,城崎","こうだか,甲高","さらたに,更谷","すぎえだ,杉枝","たなべ,田名辺","ときむら,時村","にしがいち,西垣内","ひたか,桧高","まごた,孫田","むらお,村生","よりおか,頼岡"
"たかはら,高原","うえの,植野","あまだ,天田","しょうじ,小路","あかいわ,赤岩","しもつ,下津","こみ,古味","いわなり,岩成","つきがた,月形","あまじ,天路","かわい,川相","そかべ,曽我部","はなむら,華村","わいだ,和井田","いずおか,泉岡","えど,恵土","かくらい,角瀬","きざき,生咲","こうだばし,高田橋","さらたに,皿谷","すぎおか,椙岡","たなみ,田並","ときや,鴇矢","にしがいと,西垣戸","ひたちやま,常陸山","まごめ,馬込","むらおさ,村長","よりかね,頼金"
"てらしま,寺島","うしお,牛尾","あまつ,天津","しょうだ,荘田","あかざ,赤座","しもなか,下中","こむかい,小向","いわべ,岩部","つきた,月田","あませ,天瀬","かわえ,河江","そがべ,曽我辺","はに,埴","わかうら,若浦","いずかわ,伊豆川","えどころ,絵所","かくわ,角和","きざき,木咲","こうち,古内","さるかわ,去川","すぎかわ,杉川","たなみ,田浪","ときやす,時安","にしがいと,西垣内","ひだ,火田","まごめ,馬篭","むらかた,村方","よりき,寄木"
"とみおか,富岡","おう,王","あわた,粟田","しおい,塩井","あかね,茜","しらお,白尾","こむらさき,小紫","いわぼり,岩堀","つきはら,月原","あまた,天田","かわおか,川岡","そがわ,曽川","はにゅう,羽二生","わかおみ,若麻績","いずくり,居作","えな,衣奈","かけ,懸","きざさ,木笹","こうち,高知","さるが,猿賀","すぎぐち,杉口","たなむら,棚村","ときやま,時山","にしがた,西形","ひだ,斐太","まさ,正","むらくし,村串","よりぐち,由口"
"ながい,長井","おおわき,大脇","あんらく,安楽","しかない,鹿内","あかね,赤根","しらかみ,白上","こもの,薦野","いわまさ,岩政","つきみや,月宮","あまたつ,天達","かわかみ,川神","そぎ,曽木","はにぶち,埴渕","わかくら,若倉","いずくんぞ,烏","えなざくら,恵那桜","かけずか,欠塚","きざわ,鬼沢","こうち,神内","さるしま,猿島","すぎさく,杉作","たなもり,棚守","ときよし,時吉","にしがみ,西上","ひだ,比田","まさい,政井","むらさき,邑崎","よりさき,寄崎"
"はなおか,花岡","おぎそ,小木曽","いいやま,飯山","しがき,志垣","あがつま,我妻","しらせ,白瀬","こもぶち,菰淵","いわもち,岩持","つくい,筑井","あまたつ,天辰","かわがき,川垣","そそぎ,曽々木","はにや,埴谷","わかたべ,若田部","いずさ,出佐","えなみ,叡南","かけた,懸田","きし,紀氏","こうちく,高築","さわ,佐羽","すぎざわ,杉沢","たに,多仁","ときわず,常盤津","にしがわ,西側","ひだ,秘田","まさいし,政石","むらじ,村地","よりざね,頼実"
"ほうじょう,北条","おにずか,鬼塚","いけはた,池端","しげおか,重岡","あき,秋","しらとり,白取","こもり,古森","いわや,岩屋","つくも,九十九","あまは,天羽","かわぎし,河岸","そでおか,袖岡","はの,羽野","わかのはな,若乃花","いずた,出田","えなみ,撰","かけたに,掛谷","きしょ,城所","こうつき,香月","さわ,左巴","すぎせ,杉瀬","たに,谿","ときわだい,常盤台","にしき,西亀","ひだ,飛弾","まさお,政尾","むらじ,村路","よりた,依田"
"みずた,水田","かんぜ,観世","いしかわ,石河","しげのぶ,重信","あきたに,秋谷","しん,秦","こや,小屋","いんどう,犬童","つざか,津坂","あまみや,天宮","かわくぼ,川窪","そでやま,袖山","はぶ,垣生","わかはま,若浜","いずち,泉池","えのえだ,榎枝","かけだ,欠田","きしょう,喜尚","こうとく,幸得","さわ,左和","すぎたけ,杉竹","たにいち,谷一","ときわやま,常盤山","にしき,二色","ひだ,桧田","まさか,真坂","むらそ,村祖","よりたか,頼尊"
"いわき,岩城","きたうら,北浦","いずも,出雲","しじょう,四条","あさえだ,朝枝","しんぎょうじ,真行寺","こわだ,小和田","うぉん,元","つした,津下","あまやす,天安","かわけ,河毛","そとおか,外岡","はぶち,羽淵","わかふじ,若藤","いずつ,井槌","えのきぞの,榎薗","かけの,掛布","きしうえ,岸上","こうど,香渡","さわ,沙和","すぎたち,杉立","たにうち,渓内","とぎ,土宜","にしきがわ,錦川","ひだ,妣田","まさかど,正門","むらた,無量塔","よりのみや,順宮"
"くりやま,栗山","きよかわ,清川","いとう,井藤","しちり,七里","あさもと,浅本","しんけ,新家","こんた,今田","うえさと,上里","つしだ,津志田","あまわし,天鷲","かわざと,川里","そとばやし,外林","はべ,波部","わかみ,若見","いずつや,井筒屋","えのきばやし,榎林","かけはし,掛橋","きしえ,岸江","こうどう,光藤","さわいし,沢石","すぎたつ,杉立","たにうち,溪内","とぎ,富木","にしきた,西北","ひだい,干鯛","まさき,まさき","むらつち,村土","よりふじ,頼藤"
"こすぎ,小杉","くらもと,倉本","いばらき,茨木","しのみや,篠宮","あざみ,莇","しんざわ,新沢","こんの,昆野","うえさわ,上沢","つしま,津嶋","あみおか,網岡","かわした,川下","そとみ,外海","はま,羽馬","わかむら,若村","いずの,伊津野","えのきばら,榎原","かけはし,桟","きしお,岸尾","こうどう,幸堂","さわえ,沢江","すぎたに,杉渓","たにかど,谷角","とぎ,磨","にしきみ,錦見","ひだか,飛高","まさき,征木","むらとみ,村富","よります,寄増"
"はんだ,半田","こずか,小塚","いまなが,今永","しばおか,柴岡","あしや,芦谷","しんとう,真藤","ごうこ,郷古","うえざと,上里","つじ,つじ","あみくら,網倉","かわずみ,川角","その,苑","はまうち,浜内","わかめい,若命","いずの,出野","えのきや,榎谷","かけひ,掛飛","きしがわ,岸川","こうどう,幸道","さわお,沢尾","すぎたに,杉溪","たにがま,谷釜","とく,禿","にしきやま,錦山","ひだか,飛鷹","まさき,正置","むらの,邨野","よりまつ,頼松"
"ふせ,布施","こばやかわ,小早川","いまふく,今福","しばざき,芝崎","あずま,我妻","しんどう,信藤","ごうし,郷司","うえたに,植谷","つじさわ,辻沢","あめ,飴","かわそえ,川添","そのお,園尾","はまがき,浜垣","わかやなぎ,若柳","いずの,泉野","えのさき,恵乃崎","かけふだ,掛札","きしき,岸木","こうどうじ,光同寺","さわかぶ,沢株","すぎなが,杉永","たにがみ,渓神","とくあみ,徳網","にしこおり,錦織","ひだかみ,日高見","まさき,正来","むらのい,村野井","よりむら,寄村"
"ほりぐち,堀口","さいごう,西郷","いりまじり,入交","しばやま,芝山","あそぬま,阿曽沼","しんの,新野","ごかん,後閑","うえつか,上塚","つじはら,辻原","あめや,飴屋","かわたに,河谷","そのぎ,園木","はまき,浜木","わがい,和賀井","いずま,伊妻","えのさわ,榎沢","かけみ,掛見","きしく,木鋪","こうな,河名","さわかわ,沢川","すぎぬま,杉沼","たにがわら,谷川原","とくい,得居","にしごり,綿織","ひだの,飛田野","まさき,柾木","むらはま,村浜","よりもと,寄本"
"みつはし,三橋","ささい,笹井","いわね,岩根","しまお,島尾","あとう,阿藤","しんばし,新橋","ごきた,五木田","うえつき,植月","つじばやし,辻林","あや,綾","かわつら,川面","そのざき,園崎","はまず,浜津","わきみず,脇水","いずま,出馬","えのさわ,絵野沢","かけみつ,架光","きしげ,岸下","こうなが,光永","さわがしら,沢頭","すぎのうち,杉之内","たにき,谷木","とくうえ,徳植","にしさき,西崎","ひだのはな,飛騨乃花","まさきよ,政清","むらべ,村部","よろい,鎧"
"いだ,井田","させ,佐瀬","いわもと,岩元","しまざき,嶋崎","あとべ,跡部","しんめん,新免","ごみょう,五明","うえはた,上畑","つじやま,辻山","あやこうじ,綾小路","かわで,河出","そのだ,其田","はまね,浜根","わくがみ,湧上","いずみ,いづみ","えのざわ,江野沢","かけむら,掛村","きししな,岸科","こうなん,江南","さわがみ,沢上","すぎのお,杉之尾","たにきた,谷北","とくうち,徳内","にしさこ,西迫","ひだわ,飛田和","まさたて,正立","むらべ,村辺","よろき,万木"
"えがわ,江川","さわの,沢野","いわや,岩谷","しもい,下井","あなだ,穴田","じきはら,直原","ごらい,牛来","うえはた,上畠","つずきはし,続橋","あやせ,綾瀬","かわと,川渡","そのはら,園原","はまぶち,浜渕","わくしま,涌島","いずみ,伊豆海","えのした,榎下","かげ,影","きした,岸田","こうにし,幸西","さわき,沢紀","すぎのべ,杉辺","たにくに,谷国","とくお,徳尾","にしさと,西里","ひち,飛馳","まさつき,正月","むらまつり,村祭","よろずや,万谷"
"えとう,江藤","さんじょう,三条","うえのやま,上野山","しもざわ,下沢","あべ,安陪","じんぜんじ,秦泉寺","ごろうまる,五郎丸","うえばやし,植林","つずく,都筑","あやだ,綾田","かわな,川奈","そのむら,園村","はまもと,浜元","わくた,涌田","いずみ,湖","えのと,榎戸","かげ,慶毛","きしど,岸戸","こうの,光野","さわぐり,沢栗","すぎのめ,杉目","たにぐち,渓口","とくおう,徳応","にしざか,西坂","ひつじだ,羊田","まさつぐ,政次","むらや,村屋","よんかしょ,四ケ所"
"おおくら,大倉","しばさき,柴崎","うめざき,梅崎","しもせ,下瀬","あまがさ,天笠","すいつ,水津","さいかち,西海枝","うえやなぎ,上柳","つずみ,鼓","あやむら,綾村","かわなか,河中","そま,杣","はや,羽矢","わくなが,湧永","いずみ,出海","えのはら,榎原","かげいえ,景家","きしな,岸名","こうの,功野","さわたに,沢谷","すぎまさ,杉政","たにぐろ,谷黒","とくがわ,禿河","にしざき,西碕","ひつもと,櫃本","まさと,正戸","むらやま,邑山","らい,雷"
"おぎわら,荻原","しんじょう,新城","うめつ,梅津","しもだ,霜田","あまち,天地","すえの,末野","さいとう,西塔","うお,宇尾","つちえ,土江","あゆかい,鮎貝","かわなべ,川那辺","そまやま,杣山","はやお,早尾","わぐり,和栗","いずみ,出水","えのみや,愛宮","かげかわ,景川","きしなみ,岸並","こうの,巷野","さわたり,佐渡","すぎまつ,杉松","たにこし,谷越","とくぎ,徳義","にししらほ,西白保","ひでせ,秀瀬","まさとも,政友","むらよし,村吉","らいざん,雷山"
"きねや,杵屋","すがはら,菅原","えぐさ,江草","しらつち,白土","あまもと,天本","すおう,周防","さえき,冴木","うおい,魚井","つちくら,土倉","あゆがい,鮎貝","かわはた,川幡","そめたに,染谷","はやし,はやし","わけべ,分部","いずみ,泉見","えのもと,榎元","かげき,蔭木","きしの,木住野","こうの,甲能","さわだ,さわだ","すぎみ,杉見","たにこし,谷腰","とくくら,徳倉","にしじ,西治","ひでなが,秀永","まさなお,正直","むるい,武留井","らいた,来田"
"だて,伊達","すみよし,住吉","えま,江間","しらべ,調","あめのもり,雨森","すがた,姿","さか,阪","うおき,魚木","つちたに,土谷","あらい,あらい","かわひら,川平","そめたや,染田屋","はやしま,早嶋","わこ,輪湖","いずみくに,泉国","えはた,江幡","かげさと,陰里","きしのぶ,岸信","こうの,鴻農","さわだて,沢館","すぎむら,村","たにご,谷後","とくげつあん,得月庵","にしずみ,西住","ひでの,秀野","まさに,政二","むるはーん,ムルハーン","らいだー,ライダー"
"なら,奈良","せきやま,関山","おおきた,大北","しろき,白木","あやの,綾野","すがなみ,菅波","さかいずみ,酒泉","うおた,魚田","つちむら,土村","あらいそ,荒磯","かわぶち,川渕","そめだ,染田","はやばら,早原","わさい,和才","いずみた,泉田","えはた,江畑","かげした,影下","きしはた,岸畑","こうのいけ,高野池","さわちか,沢近","すぎもと,椙元","たにごう,谷郷","とくさし,徳差","にしずめ,西詰","ひでのはな,秀ノ花","まさの,政野","むろいち,室市","らいとう,ライトウ"
"ふくもと,福本","せん,千","おおすみ,大住","しん,辛","あらかね,荒金","すぎばやし,杉林","さかいだ,坂井田","うおたに,魚谷","つちや,土家","あらかつ,荒勝","かわまた,川股","そめみや,染宮","はやま,早馬","わしず,鷲巣","いずみの,いずみの","えはら,榎原","かげしま,影島","きしま,岸間","こうのえ,鴻江","さわつがわ,沢津川","すぎもと,椙本","たにさき,谷崎","とくしゅく,徳宿","にしぜき,西関","ひでのやま,秀の山","まさのぶ,正延","むろおじ,室生寺","らいまる,来丸"
"みずしま,水島","たい,田井","おおの,多","すいず,水津","あらや,新家","すごう,須郷","さかせがわ,逆瀬川","うおもと,魚本","つつき,筒木","あらき,安良城","かわみち,川道","そらもと,空本","はやま,早麻","わしのす,鷲巣","いずみの,五十公野","えはら,恵原","かげつ,花月","きしま,貴島","こうのえ,神江","さわと,沢砥","すぎもり,椙杜","たにさけ,谷酒","とくせい,徳生","にした,西田","ひでのやま,秀ノ山","まさはし,正橋","むろき,室城","らいりー,ライリー"
"もりおか,森岡","たかぎ,高城","おおば,大羽","すえみつ,末光","ありえ,有江","すごう,菅生","さかたに,阪谷","うがた,宇賀田","つねいし,恒石","あらさき,荒崎","かわみつ,川満","そりた,返田","はややま,早山","わしや,鷲谷","いずみの,泉野","えばた,江場田","かげつてい,花月亭","きしま,木島","こうのし,神野志","さわど,沢戸","すぎや,杉屋","たにさこ,谷迫","とくぜん,徳善","にしたての,西立野","ひとき,一木","まさまる,政丸","むろこし,室越","らうんとりー,ラウントリー"
"あしだ,芦田","たけお,竹尾","おがわ,小河","すぎした,杉下","ありすがわのみや,有栖川宮","すざき,洲崎","さがみ,佐上","うがや,烏賀陽","つねみ,常深","あらさわ,荒沢","かわむら,河邑","そりはし,反橋","はよう,葉養","わじき,和食","いずむら,伊豆村","えばた,江畠","かげなか,影中","きしま,木嶋","こうのせ,神瀬","さわなか,沢中","すぎわか,杉若","たにし,田西","とくたか,徳嵩","にしたや,西田谷","ひとしあん,日歳庵","まさみつ,正光","むろこし,室腰","らぐーざ,ラグーザ"
"いずみ,和泉","たねだ,種田","おの,尾野","すぐろ,勝呂","ありとう,有藤","すずい,鈴井","さきま,崎間","うきしま,浮島","つねや,恒屋","あらざと,新里","かわも,川面","たい,鯛","はらき,原木","わたい,綿井","いずめ,井詰","えばら,頴原","かげまる,影丸","きしや,岸谷","こうのはら,鴻原","さわのい,沢ノ井","すぐた,直田","たにしげ,谷繁","とくたけ,徳竹","にしつる,西鶴","ひとつばし,一ッ橋","まさむら,政村","むろさか,室坂","らげつ,蘿月"
